Star_ID,mu_n
29365.0,1.9360076109402284
14373.0,1.9423816881685874
30638.0,1.9446625023853474
30189.0,1.9450736056168998
29613.0,1.9470139577223655
29448.0,1.9489832976768386
29352.0,1.9512149017269433
29514.0,1.9554569623892508
14438.0,1.9569824816988888
29667.0,1.9579617839479206
29323.0,1.9595813743196029
29610.0,1.9607122126261285
29536.0,1.963631007223988
42216.0,1.9673041583925512
41784.0,1.9723180237675269
40909.0,1.9737932872932913
30687.0,1.9738511529619982
42988.0,1.97634768780655
14334.0,1.9771340255771133
14700.0,1.977187202519749
42586.0,1.9785522513809122
14518.0,1.9792798478351783
14394.0,1.981065775340168
30658.0,1.9836087120030015
29020.0,1.9837733277517902
14194.0,1.9855679263693153
29143.0,1.98703275470563
41918.0,1.9884972783152264
42833.0,1.9894859337347424
42086.0,1.9900785221658068
40552.0,1.9909987686059163
43351.0,1.9935806940651872
41253.0,1.99386128953142
14575.0,1.9945762556379636
41127.0,1.9949611956613744
44312.0,1.995373613503182
28577.0,1.9964125883936699
43283.0,1.9971659352774653
42547.0,1.9974890223665926
30643.0,1.9977717620058584
43383.0,1.9983059967675236
41281.0,1.99843996152124
14228.0,1.9986507108799014
37859.0,1.999539241219299
41851.0,2.0020346264922666
14714.0,2.002256078916863
14706.0,2.00233480816089
29359.0,2.0040918203056277
41812.0,2.004756316360349
28622.0,2.004818522070492
28549.0,2.0054132310052264
31392.0,2.0055449616314487
14017.0,2.0065838524499653
14697.0,2.0071611712470525
40319.0,2.0073358217544985
14812.0,2.0082628793937585
14587.0,2.0084953675862365
44632.0,2.0092809795413675
37766.0,2.0093967467288927
31800.0,2.009984718164668
14490.0,2.0124856893930394
42398.0,2.013595016990386
13509.0,2.0141701889292656
40198.0,2.0143309162190652
43793.0,2.0144306122678755
31751.0,2.0145662956985744
31502.0,2.0148653006695323
14820.0,2.0151147364944473
14710.0,2.015542511759543
31437.0,2.015691901601
31476.0,2.0159420122741647
41572.0,2.016718275602416
14787.0,2.0169768796118235
31853.0,2.0169965988225544
31006.0,2.0172561664938393
18631.0,2.018095773173033
31431.0,2.018426545255514
41565.0,2.018432110936081
26921.0,2.0189411253181517
39079.0,2.019049229200953
14995.0,2.0194198869518485
38830.0,2.0194947492956423
43063.0,2.019568404954652
38923.0,2.019785346692167
44132.0,2.019887573726248
14155.0,2.02054690664818
39104.0,2.020616878954232
38933.0,2.021165936689548
63381.0,2.0213018790397648
14346.0,2.0219170007423584
40541.0,2.021973546329469
38870.0,2.0223490147892824
41996.0,2.02271899258528
39059.0,2.022791301574846
15108.0,2.0228457579702503
18653.0,2.0234076673978527
13581.0,2.0234192163027473
14513.0,2.024206345057708
56074.0,2.0243046117634886
18602.0,2.0252544496990654
30355.0,2.0253269539224004
18600.0,2.0253759760663805
26295.0,2.0254718841955923
18629.0,2.025644347059672
14508.0,2.0256766821210763
28232.0,2.0257633806294506
31385.0,2.0262551444232746
27964.0,2.026704873996313
14400.0,2.0272306065349914
63335.0,2.0274553628024896
43487.0,2.027869010220399
14089.0,2.028949386778434
27226.0,2.0294239178579905
18635.0,2.0294248713962415
25836.0,2.029432375835372
55463.0,2.0302581779785505
18881.0,2.030630998875844
18859.0,2.0308357350361717
44923.0,2.0309729648037123
31601.0,2.0310090277991826
27904.0,2.031099341659675
18620.0,2.031132591921144
18619.0,2.0311381604071577
32058.0,2.0313770503982322
14183.0,2.0318477137444004
44674.0,2.032147367873634
41596.0,2.0326439129941827
25663.0,2.0328849863556964
19168.0,2.0329084369629826
38732.0,2.033272056230336
31183.0,2.033350075190078
